2025-03-25 01:02:22,"0.2113,0.0742,8.1989","X: 3.2200, Y: -5.4600, Z: -3.2200",0.00,0.00,21.24,24.15
2025-03-25 01:02:23,"0.2147,0.0815,8.1999","X: 3.2900, Y: -5.2500, Z: -2.8700",0.00,0.00,21.24,24.10
2025-03-25 01:02:24,"0.2094,0.0761,8.2057","X: 3.2900, Y: -5.3200, Z: -3.2200",0.00,0.00,21.24,24.05
2025-03-25 01:02:25,"0.2079,0.0781,8.2018","X: 3.3600, Y: -5.5300, Z: -3.2900",0.00,0.00,21.24,24.08
2025-03-25 01:02:26,"0.2089,0.0786,8.2067","X: 3.3600, Y: -5.2500, Z: -3.0800",0.00,0.00,21.25,25.01
2025-03-25 01:02:27,"X: 0.2089, Y: 0.0786, Z: 8.2067","X: 3.4300, Y: -5.3200, Z: -3.2900",0.00,0.00,21.25,25.02
2025-03-25 01:02:28,"0.2040,0.0742,8.1940","X: 3.2900, Y: -5.1100, Z: -3.0800",0.00,0.00,21.25,24.04
2025-03-25 01:02:29,"0.2162,0.0771,8.2038","X: 3.2200, Y: -5.3200, Z: -3.0100",0.00,0.00,21.25,24.06
2025-03-25 01:02:30,"0.2196,0.0771,8.2043","X: 3.2200, Y: -5.2500, Z: -3.2200",0.00,0.00,21.25,24.08
2025-03-25 01:02:31,"0.2147,0.0742,8.2086","X: 3.3600, Y: -5.3900, Z: -3.0100",0.00,0.00,21.25,24.07
2025-03-25 01:02:32,"0.2186,0.0800,8.2028","X: 3.2900, Y: -5.3200, Z: -2.9400",0.00,0.00,21.25,24.11
2025-03-25 01:02:33,"0.2118,0.0795,8.2033","X: 3.2900, Y: -5.3200, Z: -3.0800",0.00,0.00,21.25,24.12
2025-03-25 01:02:34,"0.2147,0.0761,8.2047","X: 3.1500, Y: -5.3200, Z: -3.1500",0.00,0.00,21.25,24.11
2025-03-25 01:02:35,"0.2176,0.0805,8.2023","X: 3.1500, Y: -5.3900, Z: -3.2200",0.00,0.00,21.25,24.07
2025-03-25 01:02:37,"0.2094,0.0795,8.1974","X: 3.2900, Y: -5.0400, Z: -3.1500",0.00,0.00,21.25,24.12
2025-03-25 01:02:38,"0.2089,0.0732,8.2004","X: 3.1500, Y: -5.3200, Z: -3.1500",0.00,0.00,21.24,24.08
2025-03-25 01:02:39,"0.2133,0.0766,8.2033","X: 3.2900, Y: -5.3900, Z: -3.2200",0.00,0.00,21.24,24.08
2025-03-25 01:02:40,"0.2084,0.0766,8.2008","X: 3.2900, Y: -5.3900, Z: -3.2200",0.00,0.00,21.24,24.06
2025-03-25 01:02:41,"0.2035,0.0766,8.2028","X: 3.3600, Y: -5.2500, Z: -3.1500",0.00,0.00,21.25,24.10
2025-03-25 01:02:42,"0.2020,0.0742,8.1989","X: 3.2900, Y: -5.3200, Z: -3.0800",0.00,0.00,21.24,24.09
